person,position,country,wikidata_id,gender
Mohamed bin Zayed Al Nahyan,President,United Arab Emirates,Q1951896,male
Keir Starmer,Prime Minister,United Kingdom,Q6383803,male
Donald Trump,President,United States,Q22686,male
Yamandú Orsi,President,Uruguay,Q19946921,male
Shavkat Mirziyoyev,President,Uzbekistan,Q57808,male
Jotham Napat,Prime Minister,Vanuatu,Q115252004,male
Rashad al-Alimi,Chairman of the Presidential Leadership Council,Yemen,Q12213376,male
Hakainde Hichilema,President,Zambia,Q717185,male
Emmerson Mnangagwa,President,Zimbabwe,Q510523,male
Cindy Kiro,King's Representative,New Zealand,Q17180701,female
Dalton Tagelagi,Prime Minister,Niue,Q19876617,male
Badra Gunba,President,Abkhazia,Q4152132,male
Lai Ching-te,President,Republic of China,Q3847080,male
Albin Kurti,Prime Minister,Kosovo,Q441633,male
Tufan Erhürman,President,Northern Cyprus,Q47188815,male
Abdirahman Mohamed Abdullahi,President,Somaliland,Q4664994,male
Vadim Krasnoselsky,President,Transnistria,Q2035881,male
Mahdi al-Mashat,Chairman,Yemen,Q52156087,male
Osama Hammad,Prime Minister,Libya,Q118903129,male
Sviatlana Tsikhanouskaya,Cabinet,Belarus,Q97010473,female
Ursula von der Leyen,President,European Commission,Q60772,female
John T. Dunlap,Prince and Grand Master,grand masters of the Knights Hospitaller#Sovereign Military Order of Malta,Q52649819,male
